experience_level,employment_type,job_title,salary_in_usd,popularity
MI,FT,"Data Engineer",72212,97
SE,FT,"Data Engineer",70500,98
MI,FT,"Data Engineer",70139,99
MI,PT,"Data Engineer",69741,100
MI,FT,"Data Engineer",68147,101
MI,FT,"Data Engineer",66022,102
MI,FT,"Data Engineer",65949,103
MI,FT,"Data Engineer",65949,104
SE,FT,"Data Engineer",65438,105
EN,FT,"Data Engineer",65013,106
EN,FT,"Data Engineer",65000,107
MI,FT,"Data Engineer",63900,108
MI,FT,"Data Engineer",58894,109
EN,FT,"Data Engineer",58035,110
MI,PT,"Data Engineer",54957,111
EN,FT,"Data Engineer",54742,112
SE,FT,"Data Engineer",54000,113
MI,FT,"Data Engineer",52351,114
EN,FT,"Data Engineer",52351,115
MI,FT,"Data Engineer",49461,116
MI,FT,"Data Engineer",49461,117
SE,FT,"Data Engineer",47899,118
EN,FT,"Data Engineer",45807,119
MI,FT,"Data Engineer",45391,120
EN,FT,"Data Engineer",41689,121
SE,FT,"Data Engineer",33511,122
EN,FT,"Data Engineer",30428,123
MI,FT,"Data Engineer",28476,124
MI,FT,"Data Engineer",28369,125
MI,FT,"Data Engineer",28016,126
MI,FT,"Data Engineer",26005,127
SE,FT,"Data Engineer",25000,128
EN,FT,"Data Engineer",21637,129
MI,FL,"Data Engineer",20000,130
MI,FT,"Data Engineer",12103,131
MI,FT,"Data Engineer",4000,132
SE,FT,"Data Engineering Manager",174000,1
SE,FT,"Data Engineering Manager",153000,2
SE,FT,"Data Engineering Manager",150000,3
EX,FT,"Data Engineering Manager",79833,4
MI,FT,"Data Engineering Manager",59303,5
MI,FT,"Data Science Consultant",103000,1
EN,FT,"Data Science Consultant",90000,2
EN,FT,"Data Science Consultant",76833,3
EN,FT,"Data Science Consultant",76833,4
EX,FT,"Data Science Consultant",69741,5
EN,FT,"Data Science Consultant",63831,6
EN,FT,"Data Science Consultant",5707,7
SE,FT,"Data Science Engineer",127221,1
SE,FT,"Data Science Engineer",60000,2
MI,FT,"Data Science Engineer",40189,3
MI,FT,"Data Science Manager",241000,1
SE,FT,"Data Science Manager",240000,2
SE,FT,"Data Science Manager",190200,3
SE,FT,"Data Science Manager",174000,4
SE,FT,"Data Science Manager",161342,5
MI,FT,"Data Science Manager",159000,6
SE,FT,"Data Science Manager",152500,7
SE,FT,"Data Science Manager",152000,8
SE,FT,"Data Science Manager",144000,9
SE,FT,"Data Science Manager",137141,10
SE,FT,"Data Science Manager",94665,11
SE,FT,"Data Science Manager",54094,12
SE,FT,"Data Scientist",412000,1
SE,FT,"Data Scientist",260000,2
SE,FT,"Data Scientist",230000,3
SE,FT,"Data Scientist",230000,4
SE,FT,"Data Scientist",220000,5
SE,FT,"Data Scientist",215300,6
SE,FT,"Data Scientist",215300,7
SE,FT,"Data Scientist",211500,8
SE,FT,"Data Scientist",210000,9
SE,FT,"Data Scientist",210000,10
SE,FT,"Data Scientist",210000,11
SE,FT,"Data Scientist",210000,12
SE,FT,"Data Scientist",205300,13
SE,FT,"Data Scientist",205300,14
MI,FT,"Data Scientist",200000,15
SE,FT,"Data Scientist",185100,16
MI,FT,"Data Scientist",183228,17
SE,FT,"Data Scientist",180000,18
SE,FT,"Data Scientist",180000,19
SE,FT,"Data Scientist",180000,20
SE,FT,"Data Scientist",176000,21
SE,FT,"Data Scientist",170000,22
SE,FT,"Data Scientist",167000,23
SE,FT,"Data Scientist",165220,24
SE,FT,"Data Scientist",165000,25
SE,FT,"Data Scientist",165000,26
MI,FT,"Data Scientist",160000,27
MI,FT,"Data Scientist",160000,28
SE,FT,"Data Scientist",158200,29
SE,FT,"Data Scientist",150000,30
SE,FT,"Data Scientist",150000,31
MI,FT,"Data Scientist",150000,32
MI,FT,"Data Scientist",147000,33
SE,FT,"Data Scientist",146000,34
SE,FT,"Data Scientist",144000,35
MI,FT,"Data Scientist",141300,36
SE,FT,"Data Scientist",140400,37
SE,FT,"Data Scientist",140400,38
SE,FT,"Data Scientist",140400,39
SE,FT,"Data Scientist",140000,40
SE,FT,"Data Scientist",140000,41
SE,FT,"Data Scientist",140000,42
SE,FT,"Data Scientist",140000,43
SE,FT,"Data Scientist",140000,44
SE,FT,"Data Scientist",140000,45
SE,FT,"Data Scientist",138600,46
MI,FT,"Data Scientist",138350,47
SE,FT,"Data Scientist",136620,48
SE,FT,"Data Scientist",135000,49
MI,FT,"Data Scientist",135000,50
MI,FT,"Data Scientist",130000,51
MI,FT,"Data Scientist",130000,52
MI,FT,"Data Scientist",130000,53
SE,FT,"Data Scientist",123000,54
SE,FT,"Data Scientist",123000,55
SE,FT,"Data Scientist",123000,56
MI,FT,"Data Scientist",122346,57
SE,FT,"Data Scientist",120160,58
SE,FT,"Data Scientist",120000,59
SE,FT,"Data Scientist",120000,60
MI,FT,"Data Scientist",120000,61
MI,FT,"Data Scientist",119059,62
MI,FT,"Data Scientist",118000,63
SE,FT,"Data Scientist",117789,64
MI,FT,"Data Scientist",116914,65
MI,FT,"Data Scientist",115000,66
MI,FT,"Data Scientist",109000,67
MI,FT,"Data Scientist",105000,68
EN,FT,"Data Scientist",105000,69
SE,FT,"Data Scientist",104890,70
SE,FT,"Data Scientist",104702,71
SE,FT,"Data Scientist",103691,72
MI,FT,"Data Scientist",102100,73
MI,FL,"Data Scientist",100000,74
EN,PT,"Data Scientist",100000,75
SE,FT,"Data Scientist",100000,76
EN,FT,"Data Scientist",100000,77
EN,FT,"Data Scientist",100000,78
SE,FT,"Data Scientist",99360,79
SE,FT,"Data Scientist",95550,80
MI,FT,"Data Scientist",91614,81
SE,FT,"Data Scientist",91237,82
MI,FT,"Data Scientist",90734,83
MI,FT,"Data Scientist",90734,84
EN,FT,"Data Scientist",90000,85
MI,FT,"Data Scientist",90000,86
MI,FT,"Data Scientist",88654,87
SE,FT,"Data Scientist",87738,88
EN,FT,"Data Scientist",86703,89
MI,FT,"Data Scientist",82500,90
SE,FT,"Data Scientist",80000,91
EN,FT,"Data Scientist",80000,92
MI,FT,"Data Scientist",79833,93
MI,FT,"Data Scientist",78000,94
SE,FT,"Data Scientist",77684,95
MI,FT,"Data Scientist",76958,96
MI,FT,"Data Scientist",75774,97
MI,FT,"Data Scientist",73000,98
MI,FT,"Data Scientist",71982,99
MI,FT,"Data Scientist",69336,100
SE,FT,"Data Scientist",68428,101
MI,FT,"Data Scientist",65438,102
EN,FT,"Data Scientist",62726,103
MI,FT,"Data Scientist",62726,104
MI,FT,"Data Scientist",61467,105
EN,FT,"Data Scientist",58000,106
MI,FT,"Data Scientist",56256,107
SE,FT,"Data Scientist",53192,108
EN,FT,"Data Scientist",52396,109
EN,FT,"Data Scientist",51321,110
MI,FT,"Data Scientist",50000,111
EN,FT,"Data Scientist",49646,112
EN,FT,"Data Scientist",49268,113
MI,FT,"Data Scientist",48000,114
MI,FT,"Data Scientist",46809,115
MI,FT,"Data Scientist",45807,116
MI,FT,"Data Scientist",45760,117
MI,FT,"Data Scientist",42197,118
MI,FT,"Data Scientist",40481,119
MI,FT,"Data Scientist",40038,120
EN,FT,"Data Scientist",40000,121
EN,FT,"Data Scientist",39916,122
MI,FT,"Data Scientist",39263,123
MI,FT,"Data Scientist",38776,124
MI,FT,"Data Scientist",37825,125
EN,FT,"Data Scientist",36643,126
MI,FT,"Data Scientist",35735,127
MI,FT,"Data Scientist",35590,128
MI,FT,"Data Scientist",33808,129
MI,FT,"Data Scientist",31615,130
EN,FT,"Data Scientist",29751,131
EN,FT,"Data Scientist",28399,132
MI,FT,"Data Scientist",25532,133
EN,PT,"Data Scientist",21669,134
SE,FT,"Data Scientist",20171,135
EN,FT,"Data Scientist",18442,136
MI,FT,"Data Scientist",16904,137
EN,FT,"Data Scientist",13400,138
MI,FT,"Data Scientist",12901,139
MI,FT,"Data Scientist",9466,140
MI,FT,"Data Scientist",5679,141
EN,FT,"Data Scientist",4000,142
MI,FT,"Data Scientist",2859,143
SE,FT,"Data Specialist",165000,1
SE,FT,"Director of Data Engineering",200000,1
SE,FT,"Director of Data Engineering",113476,2
EX,FT,"Director of Data Science",325000,1
EX,FT,"Director of Data Science",250000,2
EX,FT,"Director of Data Science",196979,3
SE,FT,"Director of Data Science",168000,4
EX,FT,"Director of Data Science",153667,5
EX,FT,"Director of Data Science",141846,6
EX,FT,"Director of Data Science",130026,7
MI,FT,"ETL Developer",54957,1
MI,FT,"ETL Developer",54957,2
SE,FT,"Finance Data Analyst",61896,1
MI,FT,"Financial Data Analyst",450000,1
EN,FT,"Financial Data Analyst",100000,2
EX,FT,"Head of Data",235000,1
EX,FT,"Head of Data",230000,2
SE,FT,"Head of Data",200000,3
SE,FT,"Head of Data",102839,4
MI,FT,"Head of Data",32974,5
EX,FT,"Head of Data Science",224000,1
EX,FT,"Head of Data Science",167875,2
MI,FT,"Head of Data Science",110000,3
EX,FT,"Head of Data Science",85000,4
EX,FT,"Head of Machine Learning",79039,1
SE,FT,"Lead Data Analyst",170000,1
MI,FT,"Lead Data Analyst",87000,2
MI,FT,"Lead Data Analyst",19609,3
SE,FT,"Lead Data Engineer",276000,1
SE,FT,"Lead Data Engineer",160000,2
SE,FT,"Lead Data Engineer",125000,3
EX,FT,"Lead Data Engineer",118187,4
SE,FT,"Lead Data Engineer",103160,5
MI,FT,"Lead Data Engineer",56000,6
SE,FT,"Lead Data Scientist",190000,1
MI,FT,"Lead Data Scientist",115000,2
SE,FT,"Lead Data Scientist",40570,3
SE,FT,"Lead Machine Learning Engineer",87932,1
EN,FT,"Machine Learning Developer",100000,1
SE,FT,"Machine Learning Developer",78791,2
MI,FT,"Machine Learning Developer",78791,3
EN,FT,"Machine Learning Engineer",250000,1
SE,FT,"Machine Learning Engineer",220000,2
SE,FT,"Machine Learning Engineer",214000,3
SE,FT,"Machine Learning Engineer",200000,4
SE,FT,"Machine Learning Engineer",192600,5
SE,FT,"Machine Learning Engineer",189650,6
SE,FT,"Machine Learning Engineer",189650,7
SE,FT,"Machine Learning Engineer",185000,8
SE,FT,"Machine Learning Engineer",164996,9
SE,FT,"Machine Learning Engineer",164996,10
SE,FT,"Machine Learning Engineer",150000,11
EN,FT,"Machine Learning Engineer",138000,12
EN,FT,"Machine Learning Engineer",125000,13
MI,FT,"Machine Learning Engineer",124333,14
SE,FT,"Machine Learning Engineer",120000,15
MI,FT,"Machine Learning Engineer",120000,16
SE,FT,"Machine Learning Engineer",120000,17
MI,FT,"Machine Learning Engineer",98158,18
SE,FT,"Machine Learning Engineer",94564,19
MI,FT,"Machine Learning Engineer",88654,20
MI,FT,"Machine Learning Engineer",87932,21
MI,FT,"Machine Learning Engineer",87425,22
EN,FT,"Machine Learning Engineer",85000,23
SE,FT,"Machine Learning Engineer",82744,24
EN,FT,"Machine Learning Engineer",81000,25
MI,FT,"Machine Learning Engineer",74000,26
SE,FT,"Machine Learning Engineer",71444,27
SE,FT,"Machine Learning Engineer",66265,28
SE,FT,"Machine Learning Engineer",65000,29
SE,FT,"Machine Learning Engineer",62651,30
MI,FT,"Machine Learning Engineer",51064,31
MI,FT,"Machine Learning Engineer",47282,32
MI,FT,"Machine Learning Engineer",46597,33
SE,FT,"Machine Learning Engineer",45618,34
MI,FT,"Machine Learning Engineer",43331,35
EN,FT,"Machine Learning Engineer",37300,36
EN,FT,"Machine Learning Engineer",24823,37
MI,FT,"Machine Learning Engineer",24823,38
SE,FT,"Machine Learning Engineer",24342,39
EN,FT,"Machine Learning Engineer",21844,40
EN,FT,"Machine Learning Engineer",20000,41
SE,FT,"Machine Learning Infrastructure Engineer",195000,1
MI,FT,"Machine Learning Infrastructure Engineer",58255,2
MI,FT,"Machine Learning Infrastructure Engineer",50180,3
SE,FT,"Machine Learning Manager",117104,1
SE,FT,"Machine Learning Scientist",260000,1
EN,FT,"Machine Learning Scientist",225000,2
SE,FT,"Machine Learning Scientist",225000,3
MI,FT,"Machine Learning Scientist",160000,4
MI,FT,"Machine Learning Scientist",153000,5
SE,FT,"Machine Learning Scientist",120000,6
MI,FT,"Machine Learning Scientist",112300,7
MI,FL,"Machine Learning Scientist",12000,8
SE,FT,"Marketing Data Analyst",88654,1
MI,CT,"ML Engineer",270000,1
SE,FT,"ML Engineer",256000,2
MI,FT,"ML Engineer",77364,3
MI,FT,"ML Engineer",63711,4
EN,FT,"ML Engineer",21983,5
EN,PT,"ML Engineer",15966,6
MI,FT,"NLP Engineer",37236,1
SE,FT,"Principal Data Analyst",170000,1
MI,FT,"Principal Data Analyst",75000,2
EX,FT,"Principal Data Engineer",600000,1
SE,FT,"Principal Data Engineer",200000,2
SE,FT,"Principal Data Engineer",185000,3
EX,CT,"Principal Data Scientist",416000,1
SE,FT,"Principal Data Scientist",235000,2
SE,FT,"Principal Data Scientist",220000,3
SE,FT,"Principal Data Scientist",173762,4
SE,FT,"Principal Data Scientist",162674,5
MI,FT,"Principal Data Scientist",151000,6
SE,FT,"Principal Data Scientist",148261,7
MI,FT,"Product Data Analyst",20000,1
MI,FT,"Product Data Analyst",6072,2
MI,FT,"Research Scientist",450000,1
MI,FT,"Research Scientist",187442,2
SE,FT,"Research Scientist",144000,3
EN,FT,"Research Scientist",120000,4
EN,FT,"Research Scientist",100000,5
SE,FT,"Research Scientist",96113,6
SE,FT,"Research Scientist",93427,7
EN,FT,"Research Scientist",82528,8
MI,FT,"Research Scientist",69999,9
MI,FT,"Research Scientist",64849,10
MI,FT,"Research Scientist",63810,11
MI,FT,"Research Scientist",62649,12
SE,FT,"Research Scientist",60757,13
MI,FT,"Research Scientist",56738,14
SE,FT,"Research Scientist",50000,15
EN,FT,"Research Scientist",42000,16
SE,CT,"Staff Data Scientist",105000,1
