work_year,salary_in_usd,rn,cumulative_salary
2022,140400,127,140400
2022,176000,128,176000
2022,144000,129,144000
2022,205300,130,205300
2022,140400,131,140400
2022,140000,132,140000
2022,210000,133,210000
2022,140000,134,140000
2022,210000,135,210000
2022,140000,136,140000
2022,210000,137,210000
2022,140000,138,140000
2022,230000,139,230000
2022,150000,140,150000
2022,210000,141,210000
2022,160000,142,160000
2022,130000,143,130000
2020,35735,2,115568
2020,51321,3,87056
2020,40481,4,91802
2020,39916,5,80397
2020,68428,6,108344
2020,45760,7,114188
2020,76958,8,122718
2020,105000,9,181958
2020,38776,10,143776
2020,118000,11,156776
2020,120000,12,238000
2020,138350,13,258350
2020,21669,14,160019
2020,412000,15,433669
2020,62726,16,474726
2020,49268,17,111994
2020,105000,18,154268
2020,91237,19,196237
2020,62726,20,153963
2020,42197,21,104923
2021,53192,22,95389
2021,29751,23,82943
2021,73000,24,102751
2021,50000,25,123000
2021,9466,26,59466
2021,49646,27,59112
2021,100000,28,149646
2021,80000,29,180000
2021,82500,30,162500
2021,150000,31,232500
2021,75774,32,225774
2021,13400,33,89174
2021,119059,34,132459
2021,2859,35,121918
2021,40038,36,42897
2021,5679,37,45717
2021,90734,38,96413
2021,147000,39,237734
2021,61467,40,208467
2021,37825,41,99292
2021,160000,42,197825
2021,12901,43,172901
2021,90734,44,103635
2021,116914,45,207648
2021,33808,46,150722
2021,56256,47,90064
2021,87738,48,143994
2021,88654,49,176392
2021,135000,50,223654
2021,46809,51,181809
2021,4000,52,50809
2021,103691,53,107691
2021,165000,54,268691
2021,36643,55,201643
2021,115000,56,151643
2021,90000,57,205000
2021,28399,58,118399
2021,130000,59,158399
2021,16904,60,146904
2021,25532,61,42436
2021,77684,62,103216
2021,100000,63,177684
2021,58000,64,158000
2021,20171,65,78171
2021,109000,66,129171
2022,130000,67,239000
2022,90000,68,220000
2022,136620,69,226620
2022,99360,70,235980
2022,117789,71,217149
2022,104702,72,222491
2022,146000,73,250702
2022,123000,74,269000
2022,65438,75,188438
2022,39263,76,104701
2022,165220,77,204483
2022,120160,78,285380
2022,180000,79,300160
2022,120000,80,300000
2022,95550,81,215550
2022,167000,82,262550
2022,123000,83,290000
2022,150000,84,273000
2022,211500,85,361500
2022,138600,86,350100
2022,170000,87,308600
2022,123000,88,293000
2022,215300,89,338300
2022,158200,90,373500
2022,180000,91,338200
2022,71982,92,251982
2022,45807,93,117789
2022,260000,94,305807
2022,180000,95,440000
2022,80000,96,260000
2022,140400,97,220400
2022,215300,98,355700
2022,31615,99,246915
2022,18442,100,50057
2022,104890,101,123332
2022,140000,102,244890
2022,220000,103,360000
2022,140000,104,360000
2022,183228,105,323228
2022,91614,106,274842
2022,185100,107,276714
2022,200000,108,385100
2022,120000,109,320000
2022,230000,110,350000
2022,100000,111,330000
2022,100000,112,200000
2022,35590,113,135590
2022,100000,114,135590
2022,165000,115,265000
2022,52396,116,217396
2022,40000,117,92396
2022,86703,118,126703
2022,48000,119,134703
2022,122346,120,170346
2022,69336,121,191682
2022,135000,122,204336
2022,78000,123,213000
2022,141300,124,219300
2022,102100,125,243400
2022,205300,126,307400
2022,140400,127,345700
2022,176000,128,316400
2022,144000,129,320000
2022,205300,130,349300
2022,140400,131,345700
2022,140000,132,280400
2022,210000,133,350000
2022,140000,134,350000
2022,210000,135,350000
2022,140000,136,350000
2022,210000,137,350000
2022,140000,138,350000
2022,230000,139,370000
2022,150000,140,380000
2022,210000,141,360000
2022,160000,142,370000
2022,130000,143,290000
2020,51321,3,166889
2020,40481,4,127537
2020,39916,5,131718
2020,68428,6,148825
2020,45760,7,154104
2020,76958,8,191146
2020,105000,9,227718
2020,38776,10,220734
2020,118000,11,261776
2020,120000,12,276776
2020,138350,13,376350
2020,21669,14,280019
2020,412000,15,572019
2020,62726,16,496395
2020,49268,17,523994
2020,105000,18,216994
2020,91237,19,245505
2020,62726,20,258963
2020,42197,21,196160
2021,53192,22,158115
2021,29751,23,125140
2021,73000,24,155943
2021,50000,25,152751
2021,9466,26,132466
2021,49646,27,109112
2021,100000,28,159112
2021,80000,29,229646
2021,82500,30,262500
2021,150000,31,312500
2021,75774,32,308274
2021,13400,33,239174
2021,119059,34,208233
2021,2859,35,135318
2021,40038,36,161956
2021,5679,37,48576
2021,90734,38,136451
2021,147000,39,243413
2021,61467,40,299201
2021,37825,41,246292
2021,160000,42,259292
2021,12901,43,210726
2021,90734,44,263635
2021,116914,45,220549
2021,33808,46,241456
2021,56256,47,206978
2021,87738,48,177802
2021,88654,49,232648
2021,135000,50,311392
2021,46809,51,270463
2021,4000,52,185809
2021,103691,53,154500
2021,165000,54,272691
2021,36643,55,305334
2021,115000,56,316643
2021,90000,57,241643
2021,28399,58,233399
2021,130000,59,248399
2021,16904,60,175303
2021,25532,61,172436
2021,77684,62,120120
2021,100000,63,203216
2021,58000,64,235684
2021,20171,65,178171
2021,109000,66,187171
2022,130000,67,259171
2022,90000,68,329000
2022,136620,69,356620
2022,99360,70,325980
2022,117789,71,353769
2022,104702,72,321851
2022,146000,73,368491
2022,123000,74,373702
2022,65438,75,334438
2022,39263,76,227701
2022,165220,77,269921
2022,120160,78,324643
2022,180000,79,465380
2022,120000,80,420160
2022,95550,81,395550
2022,167000,82,382550
2022,123000,83,385550
2022,150000,84,440000
2022,211500,85,484500
2022,138600,86,500100
2022,170000,87,520100
2022,123000,88,431600
2022,215300,89,508300
2022,158200,90,496500
2022,180000,91,553500
2022,71982,92,410182
2022,45807,93,297789
2022,260000,94,377789
2022,180000,95,485807
2022,80000,96,520000
2022,140400,97,400400
2022,215300,98,435700
2022,31615,99,387315
2022,18442,100,265357
2022,104890,101,154947
2022,140000,102,263332
2022,220000,103,464890
2022,140000,104,500000
2022,183228,105,543228
2022,91614,106,414842
2022,185100,107,459942
2022,200000,108,476714
2022,120000,109,505100
2022,230000,110,550000
2022,100000,111,450000
2022,100000,112,430000
2022,35590,113,235590
2022,100000,114,235590
2022,165000,115,300590
2022,52396,116,317396
2022,40000,117,257396
2022,86703,118,179099
2022,48000,119,174703
2022,122346,120,257049
2022,69336,121,239682
2022,135000,122,326682
2022,78000,123,282336
2022,141300,124,354300
2022,102100,125,321400
2022,205300,126,448700
2022,140400,127,447800
2022,176000,128,521700
2022,144000,129,460400
2022,205300,130,525300
2022,140400,131,489700
2022,140000,132,485700
2022,210000,133,490400
2022,140000,134,490000
2022,210000,135,560000
2022,140000,136,490000
2022,210000,137,560000
2022,140000,138,490000
2022,230000,139,580000
2022,150000,140,520000
2022,210000,141,590000
2022,160000,142,520000
2022,130000,143,500000
2020,40481,4,207370
2020,39916,5,167453
2020,68428,6,200146
2020,45760,7,194585
2020,76958,8,231062
2020,105000,9,296146
2020,38776,10,266494
2020,118000,11,338734
2020,120000,12,381776
2020,138350,13,415126
2020,21669,14,398019
2020,412000,15,692019
2020,62726,16,634745
2020,49268,17,545663
2020,105000,18,628994
2020,91237,19,308231
2020,62726,20,308231
2020,42197,21,301160
2021,53192,22,249352
2021,29751,23,187866
2021,73000,24,198140
2021,50000,25,205943
2021,9466,26,162217
2021,49646,27,182112
2021,100000,28,209112
2021,80000,29,239112
2021,82500,30,312146
2021,150000,31,412500
2021,75774,32,388274
2021,13400,33,321674
2021,119059,34,358233
2021,2859,35,211092
2021,40038,36,175356
2021,5679,37,167635
2021,90734,38,139310
2021,147000,39,283451
2021,61467,40,304880
2021,37825,41,337026
2021,160000,42,406292
2021,12901,43,272193
2021,90734,44,301460
2021,116914,45,380549
2021,33808,46,254357
2021,56256,47,297712
2021,87738,48,294716
2021,88654,49,266456
2021,135000,50,367648
2021,46809,51,358201
2021,4000,52,274463
2021,103691,53,289500
2021,165000,54,319500
2021,36643,55,309334
2021,115000,56,420334
2021,90000,57,406643
2021,28399,58,270042
2021,130000,59,363399
2021,16904,60,265303
2021,25532,61,200835
2021,77684,62,250120
2021,100000,63,220120
2021,58000,64,261216
2021,20171,65,255855
2021,109000,66,287171
2022,130000,67,317171
2022,90000,68,349171
2022,136620,69,465620
2022,99360,70,455980
2022,117789,71,443769
2022,104702,72,458471
2022,146000,73,467851
2022,123000,74,491491
2022,65438,75,439140
2022,39263,76,373701
2022,165220,77,392921
2022,120160,78,390081
2022,180000,79,504643
2022,120000,80,585380
2022,95550,81,515710
2022,167000,82,562550
2022,123000,83,505550
2022,150000,84,535550
2022,211500,85,651500
2022,138600,86,623100
2022,170000,87,670100
2022,123000,88,643100
2022,215300,89,646900
2022,158200,90,666500
2022,180000,91,676500
2022,71982,92,625482
2022,45807,93,455989
2022,260000,94,557789
2022,180000,95,557789
2022,80000,96,565807
2022,140400,97,660400
2022,215300,98,615700
2022,31615,99,467315
2022,18442,100,405757
2022,104890,101,370247
2022,140000,102,294947
2022,220000,103,483332
2022,140000,104,604890
2022,183228,105,683228
2022,91614,106,634842
2022,185100,107,599942
2022,200000,108,659942
2022,120000,109,596714
2022,230000,110,735100
2022,100000,111,650000
2022,100000,112,550000
2022,35590,113,465590
2022,100000,114,335590
2022,165000,115,400590
2022,52396,116,352986
2022,40000,117,357396
2022,86703,118,344099
2022,48000,119,227099
2022,122346,120,297049
2022,69336,121,326385
2022,135000,122,374682
2022,78000,123,404682
2022,141300,124,423636
2022,102100,125,456400
2022,205300,126,526700
2022,140400,127,589100
2022,176000,128,623800
2022,144000,129,665700
2022,205300,130,665700
2022,140400,131,665700
2022,140000,132,629700
2022,210000,133,695700
2022,140000,134,630400
2022,210000,135,700000
2022,140000,136,700000
2022,210000,137,700000
2022,140000,138,700000
2022,230000,139,720000
2022,150000,140,730000
2022,210000,141,730000
2022,160000,142,750000
2022,130000,143,650000
2020,39916,5,247286
2020,68428,6,235881
2020,45760,7,245906
2020,76958,8,271543
2020,105000,9,336062
2020,38776,10,334922
2020,118000,11,384494
2020,120000,12,458734
2020,138350,13,520126
2020,21669,14,436795
2020,412000,15,810019
2020,62726,16,754745
2020,49268,17,684013
2020,105000,18,650663
2020,91237,19,720231
2020,62726,20,370957
2020,42197,21,350428
2021,53192,22,354352
2021,29751,23,279103
2021,73000,24,260866
2021,50000,25,248140
2021,9466,26,215409
2021,49646,27,211863
2021,100000,28,282112
2021,80000,29,289112
2021,82500,30,321612
2021,150000,31,462146
2021,75774,32,488274
2021,13400,33,401674
2021,119059,34,440733
2021,2859,35,361092
2021,40038,36,251130
2021,5679,37,181035
2021,90734,38,258369
2021,147000,39,286310
2021,61467,40,344918
2021,37825,41,342705
2021,160000,42,497026
2021,12901,43,419193
2021,90734,44,362927
2021,116914,45,418374
2021,33808,46,414357
2021,56256,47,310613
2021,87738,48,385450
2021,88654,49,383370
2021,135000,50,401456
2021,46809,51,414457
2021,4000,52,362201
2021,103691,53,378154
2021,165000,54,454500
2021,36643,55,356143
2021,115000,56,424334
2021,90000,57,510334
2021,28399,58,435042
2021,130000,59,400042
2021,16904,60,380303
2021,25532,61,290835
2021,77684,62,278519
2021,100000,63,350120
2021,58000,64,278120
2021,20171,65,281387
2021,109000,66,364855
2022,130000,67,417171
2022,90000,68,407171
2022,136620,69,485791
2022,99360,70,564980
2022,117789,71,573769
2022,104702,72,548471
2022,146000,73,604471
2022,123000,74,590851
2022,65438,75,556929
2022,39263,76,478403
2022,165220,77,538921
2022,120160,78,513081
2022,180000,79,570081
2022,120000,80,624643
2022,95550,81,680930
2022,167000,82,682710
2022,123000,83,685550
2022,150000,84,655550
2022,211500,85,747050
2022,138600,86,790100
2022,170000,87,793100
2022,123000,88,793100
2022,215300,89,858400
2022,158200,90,805100
2022,180000,91,846500
2022,71982,92,748482
2022,45807,93,671289
2022,260000,94,715989
2022,180000,95,737789
2022,80000,96,637789
2022,140400,97,706207
2022,215300,98,875700
2022,31615,99,647315
2022,18442,100,485757
2022,104890,101,510647
2022,140000,102,510247
2022,220000,103,514947
2022,140000,104,623332
2022,183228,105,788118
2022,91614,106,774842
2022,185100,107,819942
2022,200000,108,799942
2022,120000,109,779942
2022,230000,110,826714
2022,100000,111,835100
2022,100000,112,750000
2022,35590,113,585590
2022,100000,114,565590
2022,165000,115,500590
2022,52396,116,452986
2022,40000,117,392986
2022,86703,118,444099
2022,48000,119,392099
2022,122346,120,349445
2022,69336,121,366385
2022,135000,122,461385
2022,78000,123,452682
2022,141300,124,545982
2022,102100,125,525736
2022,205300,126,661700
2022,140400,127,667100
2022,176000,128,765100
2022,144000,129,767800
2022,205300,130,871000
2022,140400,131,806100
2022,140000,132,805700
2022,210000,133,839700
2022,140000,134,835700
2022,210000,135,840400
2022,140000,136,840000
2022,210000,137,910000
2022,140000,138,840000
2022,230000,139,930000
2022,150000,140,870000
2022,210000,141,940000
2022,160000,142,890000
2022,130000,143,880000
2020,68428,6,315714
2020,45760,7,281641
2020,76958,8,322864
2020,105000,9,376543
2020,38776,10,374838
2020,118000,11,452922
2020,120000,12,504494
2020,138350,13,597084
2020,21669,14,541795
2020,412000,15,848795
2020,62726,16,872745
2020,49268,17,804013
2020,105000,18,789013
2020,91237,19,741900
2020,62726,20,782957
2020,42197,21,413154
2021,53192,22,403620
2021,29751,23,384103
2021,73000,24,352103
2021,50000,25,310866
2021,9466,26,257606
2021,49646,27,265055
2021,100000,28,311863
2021,80000,29,362112
2021,82500,30,371612
2021,150000,31,471612
2021,75774,32,537920
2021,13400,33,501674
2021,119059,34,520733
2021,2859,35,443592
2021,40038,36,401130
2021,5679,37,256809
2021,90734,38,271769
2021,147000,39,405369
2021,61467,40,347777
2021,37825,41,382743
2021,160000,42,502705
2021,12901,43,509927
2021,90734,44,509927
2021,116914,45,479841
2021,33808,46,452182
2021,56256,47,470613
2021,87738,48,398351
2021,88654,49,474104
2021,135000,50,518370
2021,46809,51,448265
2021,4000,52,418457
2021,103691,53,465892
2021,165000,54,543154
2021,36643,55,491143
2021,115000,56,471143
2021,90000,57,514334
2021,28399,58,538733
2021,130000,59,565042
2021,16904,60,416946
2021,25532,61,405835
2021,77684,62,368519
2021,100000,63,378519
2021,58000,64,408120
2021,20171,65,298291
2021,109000,66,390387
2022,130000,67,494855
2022,90000,68,507171
2022,136620,69,543791
2022,99360,70,585151
2022,117789,71,682769
2022,104702,72,678471
2022,146000,73,694471
2022,123000,74,727471
2022,65438,75,656289
2022,39263,76,596192
2022,165220,77,643623
2022,120160,78,659081
2022,180000,79,693081
2022,120000,80,690081
2022,95550,81,720193
2022,167000,82,847930
2022,123000,83,805710
2022,150000,84,835550
2022,211500,85,867050
2022,138600,86,885650
2022,170000,87,960100
2022,123000,88,916100
2022,215300,89,1008400
2022,158200,90,1016600
2022,180000,91,985100
2022,71982,92,918482
2022,45807,93,794289
2022,260000,94,931289
2022,180000,95,895989
2022,80000,96,817789
2022,140400,97,778189
2022,215300,98,921507
2022,31615,99,907315
2022,18442,100,665757
2022,104890,101,590647
2022,140000,102,650647
2022,220000,103,730247
2022,140000,104,654947
2022,183228,105,806560
2022,91614,106,879732
2022,185100,107,959942
2022,200000,108,1019942
2022,120000,109,919942
2022,230000,110,1009942
2022,100000,111,926714
2022,100000,112,935100
2022,35590,113,785590
2022,100000,114,685590
2022,165000,115,730590
2022,52396,116,552986
2022,40000,117,492986
2022,86703,118,479689
2022,48000,119,492099
2022,122346,120,514445
2022,69336,121,418781
2022,135000,122,501385
2022,78000,123,539385
2022,141300,124,593982
2022,102100,125,648082
2022,205300,126,731036
2022,140400,127,802100
2022,176000,128,843100
2022,144000,129,909100
2022,205300,130,973100
2022,140400,131,1011400
2022,140000,132,946100
2022,210000,133,1015700
2022,140000,134,979700
2022,210000,135,1045700
2022,140000,136,980400
2022,210000,137,1050000
2022,140000,138,1050000
2022,230000,139,1070000
2022,150000,140,1080000
2022,210000,141,1080000
2022,160000,142,1100000
2022,130000,143,1020000
2020,45760,7,361474
2020,76958,8,358599
2020,105000,9,427864
2020,38776,10,415319
2020,118000,11,492838
2020,120000,12,572922
2020,138350,13,642844
2020,21669,14,618753
2020,412000,15,953795
2020,62726,16,911521
2020,49268,17,922013
2020,105000,18,909013
2020,91237,19,880250
2020,62726,20,804626
2020,42197,21,825154
2021,53192,22,466346
2021,29751,23,433371
2021,73000,24,457103
2021,50000,25,402103
2021,9466,26,320332
2021,49646,27,307252
2021,100000,28,365055
2021,80000,29,391863
2021,82500,30,444612
2021,150000,31,521612
2021,75774,32,547386
2021,13400,33,551320
2021,119059,34,620733
2021,2859,35,523592
2021,40038,36,483630
2021,5679,37,406809
2021,90734,38,347543
2021,147000,39,418769
2021,61467,40,466836
2021,37825,41,385602
2021,160000,42,542743
2021,12901,43,515606
2021,90734,44,600661
2021,116914,45,626841
2021,33808,46,513649
2021,56256,47,508438
2021,87738,48,558351
2021,88654,49,487005
2021,135000,50,609104
2021,46809,51,565179
2021,4000,52,452265
2021,103691,53,522148
2021,165000,54,630892
2021,36643,55,579797
2021,115000,56,606143
2021,90000,57,561143
2021,28399,58,542733
2021,130000,59,668733
2021,16904,60,581946
2021,25532,61,442478
2021,77684,62,483519
2021,100000,63,468519
2021,58000,64,436519
2021,20171,65,428291
2021,109000,66,407291
2022,130000,67,520387
2022,90000,68,584855
2022,136620,69,643791
2022,99360,70,643151
2022,117789,71,702940
2022,104702,72,787471
2022,146000,73,824471
2022,123000,74,817471
2022,65438,75,792909
2022,39263,76,695552
2022,165220,77,761412
2022,120160,78,763783
2022,180000,79,839081
2022,120000,80,813081
2022,95550,81,785631
2022,167000,82,887193
2022,123000,83,970930
2022,150000,84,955710
2022,211500,85,1047050
2022,138600,86,1005650
2022,170000,87,1055650
2022,123000,88,1083100
2022,215300,89,1131400
2022,158200,90,1166600
2022,180000,91,1196600
2022,71982,92,1057082
2022,45807,93,964289
2022,260000,94,1054289
2022,180000,95,1111289
2022,80000,96,975989
2022,140400,97,958189
2022,215300,98,993489
2022,31615,99,953122
2022,18442,100,925757
2022,104890,101,770647
2022,140000,102,730647
2022,220000,103,870647
2022,140000,104,870247
2022,183228,105,838175
2022,91614,106,898174
2022,185100,107,1064832
2022,200000,108,1159942
2022,120000,109,1139942
2022,230000,110,1149942
2022,100000,111,1109942
2022,100000,112,1026714
2022,35590,113,970690
2022,100000,114,885590
2022,165000,115,850590
2022,52396,116,782986
2022,40000,117,592986
2022,86703,118,579689
2022,48000,119,527689
2022,122346,120,614445
2022,69336,121,583781
2022,135000,122,553781
2022,78000,123,579385
2022,141300,124,680685
2022,102100,125,696082
2022,205300,126,853382
2022,140400,127,871436
2022,176000,128,978100
2022,144000,129,987100
2022,205300,130,1114400
2022,140400,131,1113500
2022,140000,132,1151400
2022,210000,133,1156100
2022,140000,134,1155700
2022,210000,135,1189700
2022,140000,136,1185700
2022,210000,137,1190400
2022,140000,138,1190000
2022,230000,139,1280000
2022,150000,140,1220000
2022,210000,141,1290000
2022,160000,142,1240000
2022,130000,143,1230000
2020,76958,8,438432
2020,105000,9,463599
2020,38776,10,466640
2020,118000,11,533319
2020,120000,12,612838
2020,138350,13,711272
2020,21669,14,664513
2020,412000,15,1030753
2020,62726,16,1016521
2020,49268,17,960789
2020,105000,18,1027013
2020,91237,19,1000250
2020,62726,20,942976
2020,42197,21,846823
2021,53192,22,878346
2021,29751,23,496097
2021,73000,24,506371
2021,50000,25,507103
2021,9466,26,411569
2021,49646,27,369978
2021,100000,28,407252
2021,80000,29,445055
2021,82500,30,474363
2021,150000,31,594612
2021,75774,32,597386
2021,13400,33,560786
2021,119059,34,670379
2021,2859,35,623592
2021,40038,36,563630
2021,5679,37,489309
2021,90734,38,497543
2021,147000,39,494543
2021,61467,40,480236
2021,37825,41,504661
2021,160000,42,545602
2021,12901,43,555644
2021,90734,44,606340
2021,116914,45,717575
2021,33808,46,660649
2021,56256,47,569905
2021,87738,48,596176
2021,88654,49,647005
2021,135000,50,622005
2021,46809,51,655913
2021,4000,52,569179
2021,103691,53,555956
2021,165000,54,687148
2021,36643,55,667535
2021,115000,56,694797
2021,90000,57,696143
2021,28399,58,589542
2021,130000,59,672733
2021,16904,60,685637
2021,25532,61,607478
2021,77684,62,520162
2021,100000,63,583519
2021,58000,64,526519
2021,20171,65,456690
2021,109000,66,537291
2022,130000,67,537291
2022,90000,68,610387
2022,136620,69,721475
2022,99360,70,743151
2022,117789,71,760940
2022,104702,72,807642
2022,146000,73,933471
2022,123000,74,947471
2022,65438,75,882909
2022,39263,76,832172
2022,165220,77,860772
2022,120160,78,881572
2022,180000,79,943783
2022,120000,80,959081
2022,95550,81,908631
2022,167000,82,952631
2022,123000,83,1010193
2022,150000,84,1120930
2022,211500,85,1167210
2022,138600,86,1185650
2022,170000,87,1175650
2022,123000,88,1178650
2022,215300,89,1298400
2022,158200,90,1289600
2022,180000,91,1346600
2022,71982,92,1268582
2022,45807,93,1102889
2022,260000,94,1224289
2022,180000,95,1234289
2022,80000,96,1191289
2022,140400,97,1116389
2022,215300,98,1173489
2022,31615,99,1025104
2022,18442,100,971564
2022,104890,101,1030647
2022,140000,102,910647
2022,220000,103,950647
2022,140000,104,1010647
2022,183228,105,1053475
2022,91614,106,929789
2022,185100,107,1083274
2022,200000,108,1264832
2022,120000,109,1279942
2022,230000,110,1369942
2022,100000,111,1249942
2022,100000,112,1209942
2022,35590,113,1062304
2022,100000,114,1070690
2022,165000,115,1050590
2022,52396,116,902986
2022,40000,117,822986
2022,86703,118,679689
2022,48000,119,627689
2022,122346,120,650035
2022,69336,121,683781
2022,135000,122,718781
2022,78000,123,631781
2022,141300,124,720685
2022,102100,125,782785
2022,205300,126,901382
2022,140400,127,993782
2022,176000,128,1047436
2022,144000,129,1122100
2022,205300,130,1192400
2022,140400,131,1254800
2022,140000,132,1253500
2022,210000,133,1361400
2022,140000,134,1296100
2022,210000,135,1365700
2022,140000,136,1329700
2022,210000,137,1395700
2022,140000,138,1330400
2022,230000,139,1420000
2022,150000,140,1430000
2022,210000,141,1430000
2022,160000,142,1450000
2022,130000,143,1370000
2020,105000,9,543432
2020,38776,10,502375
2020,118000,11,584640
2020,120000,12,653319
2020,138350,13,751188
2020,21669,14,732941
2020,412000,15,1076513
2020,62726,16,1093479
2020,49268,17,1065789
2020,105000,18,1065789
2020,91237,19,1118250
2020,62726,20,1062976
2020,42197,21,985173
2021,53192,22,900015
2021,29751,23,908097
2021,73000,24,569097
2021,50000,25,556371
2021,9466,26,516569
2021,49646,27,461215
2021,100000,28,469978
2021,80000,29,487252
2021,82500,30,527555
2021,150000,31,624363
2021,75774,32,670386
2021,13400,33,610786
2021,119059,34,679845
2021,2859,35,673238
2021,40038,36,663630
2021,5679,37,569309
2021,90734,38,580043
2021,147000,39,644543
2021,61467,40,556010
2021,37825,41,518061
2021,160000,42,664661
2021,12901,43,558503
2021,90734,44,646378
2021,116914,45,723254
2021,33808,46,751383
2021,56256,47,716905
2021,87738,48,657643
2021,88654,49,684830
2021,135000,50,782005
2021,46809,51,668814
2021,4000,52,659913
2021,103691,53,672870
2021,165000,54,720956
2021,36643,55,723791
2021,115000,56,782535
2021,90000,57,784797
2021,28399,58,724542
2021,130000,59,719542
2021,16904,60,689637
2021,25532,61,711169
2021,77684,62,685162
2021,100000,63,620162
2021,58000,64,641519
2021,20171,65,546690
2021,109000,66,565690
2022,130000,67,667291
2022,90000,68,627291
2022,136620,69,747007
2022,99360,70,820835
2022,117789,71,860940
2022,104702,72,865642
2022,146000,73,953642
2022,123000,74,1056471
2022,65438,75,1012909
2022,39263,76,922172
2022,165220,77,997392
2022,120160,78,980932
2022,180000,79,1061572
2022,120000,80,1063783
2022,95550,81,1054631
2022,167000,82,1075631
2022,123000,83,1075631
2022,150000,84,1160193
2022,211500,85,1332430
2022,138600,86,1305810
2022,170000,87,1355650
2022,123000,88,1298650
2022,215300,89,1393950
2022,158200,90,1456600
2022,180000,91,1469600
2022,71982,92,1418582
2022,45807,93,1314389
2022,260000,94,1362889
2022,180000,95,1404289
2022,80000,96,1314289
2022,140400,97,1331689
2022,215300,98,1331689
2022,31615,99,1205104
2022,18442,100,1043546
2022,104890,101,1076454
2022,140000,102,1170647
2022,220000,103,1130647
2022,140000,104,1090647
2022,183228,105,1193875
2022,91614,106,1145089
2022,185100,107,1114889
2022,200000,108,1283274
2022,120000,109,1384832
2022,230000,110,1509942
2022,100000,111,1469942
2022,100000,112,1349942
2022,35590,113,1245532
2022,100000,114,1162304
2022,165000,115,1235690
2022,52396,116,1102986
2022,40000,117,942986
2022,86703,118,909689
2022,48000,119,727689
2022,122346,120,750035
2022,69336,121,719371
2022,135000,122,818781
2022,78000,123,796781
2022,141300,124,773081
2022,102100,125,822785
2022,205300,126,988085
2022,140400,127,1041782
2022,176000,128,1169782
2022,144000,129,1191436
2022,205300,130,1327400
2022,140400,131,1332800
2022,140000,132,1394800
2022,210000,133,1463500
2022,140000,134,1501400
2022,210000,135,1506100
2022,140000,136,1505700
2022,210000,137,1539700
2022,140000,138,1535700
2022,230000,139,1560400
2022,150000,140,1570000
2022,210000,141,1640000
2022,160000,142,1590000
2022,130000,143,1580000
2020,38776,10,582208
2020,118000,11,620375
2020,120000,12,704640
